"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","checkLoginFunctionalityPerformance","checkLoginFunctionalityPerformance()",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginSuccessIfUserExists","1. Проверяем успешный логин, если юзер существует",""
"passed","Mon Jan 15 12:41:44 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","1970","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","userListEmptyIfNoUserAdded","2. Если пользователь не добавлен, то коллекция пустая",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","usersSizeIfUserAdded","usersSizeIfUserAdded()",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","usersConvertedToMapByID","usersConvertedToMapByID()",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfPasswordIsNotCorrect","loginFailedIfPasswordIsNotCorrect()",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","shouldDeleteExistedUser","shouldDeleteExistedUser()",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","throwExceptionIfUsernameOrPasswordIsNull","throwExceptionIfUsernameOrPasswordIsNull()",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTestWithCSVSource","Login test with CSV Source",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","usersConvertedToMapByIDByHamcrest","usersConvertedToMapByIDByHamcrest()",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","1","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTestWithCSVFile","loginParametrizedTestWithCSVFile(String, String)",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTest","loginParametrizedTest(String, String, Optional)",""
"skipped","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:46 GMT 2024","0","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo)",""
"passed","Mon Jan 15 12:41:46 GMT 2024","Mon Jan 15 12:41:49 GMT 2024","3475","","ru.pstest.ui.SimpleUITesting","","ru.pstest.ui.SimpleUITesting","testSimpleUIText","testSimpleUIText()",""
